Collection,Params1,Params2,Model,test_rmse,test_mae,train_rmse,train_mae,PValueAvg,Wilcoxon_PValue,Kruskal_PValue,MannWhitney_PValue,Kolmogorov_PValue
meebits,FloorEthPrice,FloorEthPrice_VolumeInEth,GRU_MODEL,0.2310471815806833,0.1217218563986809,31.139252399932115,10.795344400725616,0.0745,0.0,0.0643,0.0645,0.1691
meebits,FloorEthPrice,FloorEthPrice_Sales,GRU_MODEL,0.2310471815806833,0.1217218563986809,31.139252399932115,10.795344400725616,0.0385,0.0743,0.0398,0.04,0.0
meebits,FloorEthPrice,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,0.2310471815806833,0.1217218563986809,31.139252399932115,10.795344400725616,0.0,0.0,0.0,0.0,0.0
meebits,FloorEthPrice_VolumeInEth,FloorEthPrice,GRU_MODEL,0.2387773640061775,0.1405346608431022,31.55562798827335,11.428590476312468,0.0745,0.0,0.0643,0.0645,0.1691
meebits,FloorEthPrice_VolumeInEth,FloorEthPrice_Sales,GRU_MODEL,0.2387773640061775,0.1405346608431022,31.55562798827335,11.428590476312468,0.0045,0.0103,0.0039,0.0039,0.0
meebits,FloorEthPrice_VolumeInEth,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,0.2387773640061775,0.1405346608431022,31.55562798827335,11.428590476312468,0.0,0.0,0.0,0.0,0.0
meebits,FloorEthPrice_Sales,FloorEthPrice,GRU_MODEL,1.2201901654282563,0.8558878279179143,32.165175259046094,11.503347680264564,0.0385,0.0743,0.0398,0.04,0.0
meebits,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth,GRU_MODEL,1.2201901654282563,0.8558878279179143,32.165175259046094,11.503347680264564,0.0045,0.0103,0.0039,0.0039,0.0
meebits,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth_Sales,GRU_MODEL,1.2201901654282563,0.8558878279179143,32.165175259046094,11.503347680264564,0.0,0.0,0.0,0.0,0.0
meebits,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice,GRU_MODEL,1.904461841613739,1.7619740245476692,33.943529974744656,11.45128505042391,0.0,0.0,0.0,0.0,0.0
meebits,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_VolumeInEth,GRU_MODEL,1.904461841613739,1.7619740245476692,33.943529974744656,11.45128505042391,0.0,0.0,0.0,0.0,0.0
meebits,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_Sales,GRU_MODEL,1.904461841613739,1.7619740245476692,33.943529974744656,11.45128505042391,0.0,0.0,0.0,0.0,0.0
meebits,FloorEthPrice,FloorEthPrice_VolumeInEth,LSTM_MODEL,0.228589098249553,0.1167928355576903,31.718673818262022,11.059608885984504,0.7911,0.5343,0.9921,0.9933,0.6447
meebits,FloorEthPrice,FloorEthPrice_Sales,LSTM_MODEL,0.228589098249553,0.1167928355576903,31.718673818262022,11.059608885984504,0.0,0.0,0.0,0.0,0.0
meebits,FloorEthPrice,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,0.228589098249553,0.1167928355576903,31.718673818262022,11.059608885984504,0.5437,0.5687,0.7838,0.7849,0.0376
meebits,FloorEthPrice_VolumeInEth,FloorEthPrice,LSTM_MODEL,0.2277481213305125,0.1226030238123647,31.443920326803035,11.23859420492013,0.7911,0.5343,0.9921,0.9933,0.6447
meebits,FloorEthPrice_VolumeInEth,FloorEthPrice_Sales,LSTM_MODEL,0.2277481213305125,0.1226030238123647,31.443920326803035,11.23859420492013,0.0,0.0,0.0,0.0,0.0
meebits,FloorEthPrice_VolumeInEth,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,0.2277481213305125,0.1226030238123647,31.443920326803035,11.23859420492013,0.4651,0.4985,0.6617,0.6627,0.0376
meebits,FloorEthPrice_Sales,FloorEthPrice,LSTM_MODEL,1.6537435824682625,1.290750303176277,31.985752237536396,12.056437542084646,0.0,0.0,0.0,0.0,0.0
meebits,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth,LSTM_MODEL,1.6537435824682625,1.290750303176277,31.985752237536396,12.056437542084646,0.0,0.0,0.0,0.0,0.0
meebits,FloorEthPrice_Sales,FloorEthPrice_VolumeInEth_Sales,LSTM_MODEL,1.6537435824682625,1.290750303176277,31.985752237536396,12.056437542084646,0.0,0.0001,0.0,0.0,0.0
meebits,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice,LSTM_MODEL,0.634555527120383,0.4937877949329698,29.991756837429794,11.37424366768739,0.5437,0.5687,0.7838,0.7849,0.0376
meebits,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_VolumeInEth,LSTM_MODEL,0.634555527120383,0.4937877949329698,29.991756837429794,11.37424366768739,0.4651,0.4985,0.6617,0.6627,0.0376
meebits,FloorEthPrice_VolumeInEth_Sales,FloorEthPrice_Sales,LSTM_MODEL,0.634555527120383,0.4937877949329698,29.991756837429794,11.37424366768739,0.0,0.0001,0.0,0.0,0.0
